,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
24,0.0959,0.3148,2.1767,0.0678,0.0015,0.3561,0.0001,0.0559,0.3837,0.0002,0.7779,1.0497,2.7065,5.3074,53.0401,7.1528,67.1331
25,0.0955,0.4129,2.1881,0.0532,0.0016,0.4126,0,0.0556,0.4068,0.0002,0.8571,1.0702,2.8669,5.5708,45.0748,7.1987,59.5639
26,0.096,0.3981,2.172,0.055,0.0013,0.3745,0.0001,0.0546,0.4015,0.0001,0.8161,1.0738,2.7866,5.459,45.2965,7.2368,59.7505
27,0.0965,0.4018,2.2046,0.0661,0.0038,0.4276,0.0001,0.0558,0.3863,0.0002,0.8671,1.0811,2.9138,5.6265,45.4347,7.2584,60.0578
28,0.094,0.4514,2.1886,0.052,0.0015,0.4247,0.0001,0.0552,0.4029,0.0002,0.8672,1.0835,2.9012,5.6429,45.9863,7.2775,60.642
29,0.097,0.3968,2.1852,0.0617,0.0036,0.4336,0.0002,0.055,0.4191,0.0002,0.8701,1.1067,2.9707,5.6595,46.3255,7.3072,61.0447
30,0.0948,0.4137,2.238,0.0544,0.0038,0.4401,0.0001,0.0567,0.4114,0.0002,0.8738,1.0751,2.9364,5.6945,46.5079,7.2853,61.243
31,0.095,0.4647,2.2475,0.0593,0.005,0.3873,0.0002,0.0567,0.4116,0.0002,0.8324,1.1053,2.8811,5.6998,46.5086,7.2586,61.2236
32,0.1262,0.3157,2.2277,0.0531,0.0022,0.4204,0.0002,0.0553,0.3895,0.0001,0.8417,1.082,2.8608,5.5411,70.2563,7.3923,84.8305
33,0.1254,0.8811,2.396,0.0589,0.0015,0.4361,0.0001,0.0645,0.4235,0.0002,0.876,1.1005,3.0402,6.4505,58.3007,7.9182,74.4108
34,0.1273,0.7872,2.4713,0.0578,0.003,0.446,0.0001,0.0599,0.414,0.0001,0.8679,1.1016,2.9723,6.3679,52.7198,7.3467,68.1857
35,0.0967,0.8089,2.2747,0.0663,0.0039,0.4492,0.0002,0.0632,0.4234,0.0002,0.8815,1.1187,3.0302,6.2235,48.5475,7.3884,63.9111
